Date,Open,High,Low,Adj Close,Volume,year,month,day,weekday,month_sin,month_cos,weekday_sin,weekday_cos,value_lag_1,value_lag_3,value_roll_mean_3,value_lag_7,value_roll_mean_7,value_lag_14,value_roll_mean_14,ChangePredict,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2021-07-01 04:00:00+00:00,5.958734709871887,5.9689888128892985,5.948034989180646,5.959664262911462,14.199412169355275,2021,7,1,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,387.0299987792969,388.8599853515625,378.2433268229167,374.6499938964844,368.2614266531808,366.3999938964844,333.3671417236328,-0.54998779296875,68.91197361362904,18.945096236248617,-0.5913303852542704,19.536426621502887
2021-07-02 04:00:00+00:00,5.969934456621193,5.990764305047484,5.959844841229568,5.9658646856283895,14.540641268638653,2021,7,2,4,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,386.4800109863281,394.7300109863281,385.35333251953125,376.9200134277344,369.8342851911272,365.9100036621094,336.53499930245533,2.410003662109375,69.94847592821505,18.50638556012143,-0.8240328491051656,19.330418409226596
2021-07-06 04:00:00+00:00,5.975284316762031,6.002577571129582,5.972689385562456,5.996750539394545,15.04987705862911,2021,7,6,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,388.8900146484375,387.0299987792969,390.2066650390625,373.3999938964844,371.8914271763393,359.0,339.22928510393416,12.22998046875,74.58019385597235,18.92737836624542,-0.32243203438494206,19.249810400630363
2021-07-07 04:00:00+00:00,6.003541292151942,6.009991878683503,5.977112009924841,5.97865790011181,14.521870563433517,2021,7,7,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,401.1199951171875,386.4800109863281,389.41334025065106,372.4700012207031,373.4114292689732,361.8299865722656,341.78499930245533,-7.209991455078125,67.93283660308828,18.466363401792307,-0.6267575990704444,19.09312100086275
2021-07-08 04:00:00+00:00,5.958424693029782,5.969985515430857,5.936216072877503,5.958450557722743,14.826711753403224,2021,7,8,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,393.9100036621094,388.8900146484375,387.4666748046875,388.8599853515625,375.6842825753348,372.9500122070313,345.1078578404018,-7.899993896484375,61.468084436875905,17.26452751024425,-1.4628747924948016,18.72740230273905
2021-07-09 04:00:00+00:00,5.945472934498473,5.962370383761755,5.936987221139949,5.956044567097052,14.466898325597924,2021,7,9,4,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,386.010009765625,401.1199951171875,392.16334025065106,394.7300109863281,378.6114283970424,374.239990234375,348.1585715157645,-0.930023193359375,60.735318702430774,16.05198155688032,-2.1403365966869856,18.192318153567307
2021-07-12 04:00:00+00:00,5.9568989913979316,5.97095568293641,5.93824832353362,5.940486979497664,14.45867989434202,2021,7,12,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,385.0799865722656,393.9100036621094,394.64000447591144,387.0299987792969,381.15142822265625,369.25,351.125,-5.959991455078125,56.11835022179299,14.443611687521866,-2.9989651728363533,17.44257686035822
2021-07-13 04:00:00+00:00,5.940276532822819,5.954541193003384,5.930678984568762,5.938564738357619,14.379346571066137,2021,7,13,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,379.1199951171875,386.010009765625,393.6800028483073,386.4800109863281,382.8414306640625,374.6499938964844,354.52071489606584,-0.72998046875,55.56124421110568,12.960661220431689,-3.5855325119412242,16.546193732372913
2021-07-14 04:00:00+00:00,5.944896879319328,5.94623179144229,5.890123753218698,5.890566242493949,14.770868529676822,2021,7,14,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,378.3900146484375,385.0799865722656,388.3333333333333,388.8900146484375,384.55143083844865,376.9200134277344,358.65714372907365,-17.780029296875,44.08227557004954,10.232755682984362,-5.050750439510843,15.283506122495204
2021-07-15 04:00:00+00:00,5.899705534298079,5.912356372206781,5.875913411075747,5.880002112435496,14.690854704223693,2021,7,15,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,360.6099853515625,379.1199951171875,383.40333048502606,401.1199951171875,388.5114310128348,373.3999938964844,361.32857186453685,-3.799987792968807,42.081244224685236,7.675762225055394,-6.086195117951849,13.761957343007243
